,Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Motivation_Level,Internet_Access,Tutoring_Sessions,Family_Income,Teacher_Quality,School_Type,Peer_Influence,Physical_Activity,Learning_Disabilities,Parental_Education_Level,Distance_from_Home,Gender,Exam_Score
0,23,84,0.0,2.0,0.0,7,73,0.0,1.0,0,0.0,1.0,0.0,2.0,3,0.0,0.0,0.0,0.0,D
1,19,64,0.0,1.0,0.0,8,59,0.0,1.0,2,1.0,1.0,0.0,0.0,4,0.0,1.0,1.0,1.0,D
2,24,98,1.0,1.0,1.0,7,91,1.0,1.0,2,1.0,1.0,0.0,1.0,4,0.0,2.0,0.0,0.0,C
3,29,89,0.0,1.0,1.0,8,98,1.0,1.0,1,1.0,1.0,0.0,0.0,4,0.0,0.0,1.0,0.0,C
4,19,92,1.0,1.0,1.0,6,65,1.0,1.0,3,1.0,2.0,0.0,1.0,4,0.0,1.0,0.0,1.0,C
5,19,88,1.0,1.0,1.0,8,89,1.0,1.0,3,1.0,1.0,0.0,2.0,3,0.0,2.0,0.0,0.0,C
6,29,84,1.0,0.0,1.0,7,68,0.0,1.0,1,0.0,1.0,1.0,1.0,2,0.0,0.0,1.0,0.0,D
7,25,78,0.0,2.0,1.0,6,50,1.0,1.0,1,2.0,2.0,0.0,0.0,2,0.0,0.0,2.0,0.0,D
8,17,94,1.0,2.0,0.0,6,80,2.0,1.0,0,1.0,0.0,1.0,1.0,1,0.0,1.0,0.0,0.0,D
9,23,98,1.0,1.0,1.0,8,71,1.0,1.0,0,2.0,2.0,0.0,2.0,5,0.0,0.0,1.0,0.0,C
10,17,80,0.0,2.0,0.0,8,88,1.0,0.0,4,1.0,2.0,1.0,1.0,4,0.0,1.0,1.0,0.0,D
11,17,97,1.0,2.0,1.0,6,87,0.0,1.0,2,0.0,2.0,1.0,1.0,2,0.0,0.0,0.0,0.0,C
12,21,83,1.0,1.0,1.0,8,97,0.0,1.0,2,1.0,1.0,0.0,2.0,4,0.0,0.0,0.0,0.0,C
13,9,82,1.0,1.0,1.0,8,72,1.0,1.0,2,1.0,1.0,1.0,2.0,3,0.0,2.0,0.0,0.0,D
14,10,78,1.0,2.0,1.0,8,74,1.0,1.0,1,0.0,1.0,1.0,1.0,4,0.0,2.0,0.0,0.0,D
15,17,68,1.0,1.0,0.0,8,70,1.0,1.0,2,1.0,1.0,1.0,2.0,4,0.0,0.0,0.0,1.0,D
16,14,60,1.0,0.0,1.0,10,65,0.0,1.0,0,2.0,1.0,1.0,2.0,3,0.0,1.0,0.0,0.0,D
17,22,70,0.0,1.0,1.0,6,82,1.0,1.0,1,0.0,2.0,0.0,1.0,3,0.0,0.0,0.0,1.0,D
18,15,80,1.0,1.0,1.0,9,91,0.0,1.0,3,0.0,1.0,0.0,2.0,2,0.0,1.0,1.0,1.0,D
19,12,75,1.0,2.0,1.0,7,58,1.0,1.0,3,1.0,1.0,1.0,2.0,4,0.0,1.0,0.0,0.0,D
20,29,78,1.0,1.0,0.0,5,99,2.0,1.0,0,2.0,1.0,0.0,0.0,1,0.0,0.0,1.0,1.0,D
21,19,99,1.0,2.0,0.0,6,84,1.0,1.0,1,1.0,2.0,0.0,1.0,3,0.0,0.0,0.0,0.0,C
22,20,74,1.0,2.0,0.0,8,89,0.0,1.0,1,1.0,1.0,0.0,0.0,2,0.0,1.0,1.0,1.0,D
23,11,78,2.0,1.0,1.0,8,100,2.0,1.0,1,0.0,1.0,0.0,1.0,3,0.0,0.0,1.0,0.0,D
24,17,65,0.0,2.0,1.0,5,75,1.0,1.0,2,0.0,1.0,0.0,2.0,3,0.0,0.0,0.0,1.0,D
25,21,62,2.0,0.0,1.0,6,54,2.0,1.0,0,2.0,2.0,0.0,2.0,3,0.0,2.0,2.0,0.0,D
26,13,91,0.0,1.0,0.0,6,90,1.0,1.0,1,2.0,1.0,0.0,0.0,2,1.0,0.0,1.0,1.0,D
